"","DAX","WIG","Vol_GER","Vol_PL","STOXX50","EG","CS"
"DAX.l1",0.02388,0.0976,-319.95431,-49.44009,-10.87896,55.44556,17.63499
"WIG.l1",0.14853,0.05417,33.09722,12.25784,-21.38147,23.57324,17.09468
"Vol_GER.l1",7e-05,0,-0.58308,0.04381,-0.00492,-0.00619,-0.01344
"Vol_PL.l1",5e-05,9e-05,-0.02279,-0.40488,-0.02849,0.03377,-0.01416
"STOXX50.l1",0.00127,0.0011,-0.80116,-0.18345,-0.00988,0.29967,0.11667
"EG.l1",7e-05,6e-05,0.6414,-0.00628,0.02235,-0.00511,0.11302
"CS.l1",-0.00086,-0.00053,3.22827,1.03798,-0.05241,-0.70518,0.18487
"DAX.l2",-0.10161,-0.05296,-19.19881,-49.81038,2.97157,24.32994,-1.20565
"WIG.l2",0.20459,0.08253,136.92002,-49.7502,15.15497,14.07392,22.55275
"Vol_GER.l2",2e-05,5e-05,-0.15183,0.03781,0.00395,-0.0073,0.00623
"Vol_PL.l2",0.00015,0.00013,-0.10228,-0.29235,-0.01774,0.03337,-0.0048
"STOXX50.l2",-0.00053,-0.00099,0.33617,0.06066,-0.18576,-0.05941,0.02748
"EG.l2",8e-05,0.00029,-0.28449,-0.12351,0.0182,0.1664,0.03228
"CS.l2",-0.00032,0.00059,-0.4717,-0.75424,0.16861,-0.11266,0.21006
"const",0.00181,0.00394,-0.35732,1.45039,-0.06483,-0.56455,-0.28309
