Date,Open,Highest,Lowest,Close, Volume
2000-01-31,6961.72,7306.48,6388.91,6835.6
2000-02-29,6841.12,7813.2,6841.12,7644.55
2000-03-31,7645.3,8136.16,7411.76,7599.39
2000-04-30,7599.78,7641.53,6890.96,7414.68
2000-05-31,7407.53,7571.72,6794.08,7109.67
2000-06-30,7117.57,7486.4,6851.84,6898.21
2000-07-31,6912.97,7503.32,6842.61,7190.37
2000-08-31,7194.03,7395.81,6954.6,7216.45
2000-09-30,7221.41,7456.71,6468.46,6798.12
2000-10-31,6800.07,7087.92,6297.49,7077.44
2000-11-30,7093.84,7185.66,6361.43,6372.33
2000-12-31,6379.26,6813.3,6110.26,6433.61
2001-01-31,6431.14,6795.14,6172.44,6795.14
2001-02-28,6788.57,6788.57,6071.35,6208.24
2001-03-31,6212.66,6342.54,5351.48,5829.95
2001-04-30,5843.37,6271.2,5383.99,6264.51
2001-05-31,6272.03,6337.47,5960.46,6123.26
2001-06-30,6122.96,6278.04,5758.69,6058.38
2001-07-31,6053.81,6131.97,5551.14,5861.19
2001-08-31,5859.68,5930.45,5124.69,5188.17
2001-09-30,5195.67,5220.1,3539.18,4308.15,2052719200
2001-10-31,4315.06,4874.31,4157.6,4559.13,2709145524
2001-11-30,4556.71,5217.47,4481.55,4989.91,3226940424
2001-12-31,4986.58,5341.86,4872.25,5160.1,2335214400
2002-01-31,5155.26,5352.16,4974.58,5107.61,3358160992
2002-02-28,5109.48,5165.97,4706.01,5039.08,2964611424
2002-03-31,5025.96,5467.31,5003.06,5397.29,3334249032
2002-04-30,5379.64,5379.64,4929.35,5041.2,2741091424
2002-05-31,5043.01,5126.33,4741.95,4818.3,3091175920
2002-06-30,4818.07,4850.38,3946.7,4382.56,3756780872
2002-07-31,4377.1,4483.03,3265.96,3700.14,4873027344
2002-08-31,3699.31,3930.96,3235.38,3712.94,3439099896
2002-09-30,3698.69,3698.69,2719.49,2769.03,3832520096
2002-10-31,2772.96,3299.01,2519.3,3152.85,4548631424
2002-11-30,3152.19,3443.49,2987.85,3320.32,3611080880
2002-12-31,3332.73,3476.83,2836.01,2892.63,2961840508
2003-01-31,2898.68,3157.25,2563.92,2747.83,4395188752
2003-02-28,2750.4,2802.93,2433.15,2547.05,4125929152
2003-03-31,2553.74,2731.57,2188.75,2423.87,5080724592
