Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2001-01-31,0.25812,0.26417,0.25517,0.26305
2001-02-28,0.26085,0.26779,0.26085,0.26642
2001-03-31,0.26826,0.27647,0.26713,0.27647
2001-04-30,0.27787,0.28327,0.2735,0.28277
2001-05-31,0.28474,0.29439,0.28318,0.29439
2001-06-30,0.29687,0.29794,0.29248,0.29601
2001-07-31,0.29529,0.29588,0.25838,0.26947
2001-08-31,0.26717,0.27091,0.25345,0.25745
2001-09-30,0.26067,0.26538,0.25272,0.25767
2001-10-31,0.2598,0.27275,0.25837,0.26977
2001-11-30,0.26977,0.27843,0.26977,0.27607
2001-12-31,0.27666,0.28602,0.27492,0.28394
2002-01-31,0.28172,0.28559,0.27115,0.27833
2002-02-28,0.27833,0.27833,0.27046,0.27465
2002-03-31,0.27218,0.27857,0.27218,0.2775
2002-04-30,0.27696,0.27969,0.27684,0.27847
2002-05-31,0.27779,0.27779,0.26382,0.26468
2002-06-30,0.26667,0.26667,0.24943,0.24943
2002-07-31,0.24865,0.25436,0.23744,0.24504
2002-08-31,0.2458,0.24669,0.24065,0.24504
2002-09-30,0.24679,0.24835,0.24199,0.24521
2002-10-31,0.24441,0.25297,0.24381,0.2513
2002-11-30,0.25149,0.25485,0.2509,0.2512
2002-12-31,0.25174,0.25237,0.24874,0.24874
2003-01-31,0.24941,0.25143,0.23578,0.24221
2003-02-28,0.24355,0.24355,0.23763,0.23763
2003-03-31,0.23397,0.23397,0.227,0.227
2003-04-30,0.22463,0.23586,0.22463,0.23389
2003-05-31,0.2346,0.23549,0.22771,0.22771
2003-06-30,0.2281,0.22836,0.22274,0.22437
2003-07-31,0.22507,0.22849,0.22279,0.2279
2003-08-31,0.22977,0.22983,0.22804,0.22942
2003-09-30,0.22934,0.22984,0.21535,0.21535
2003-10-31,0.21889,0.22181,0.21356,0.21356
2003-11-30,0.21475,0.21869,0.21219,0.21219
2003-12-31,0.21508,0.2159,0.212,0.212
2004-01-31,0.21236,0.21444,0.21002,0.21002
2004-02-29,0.20945,0.20945,0.20383,0.20515
2004-03-31,0.20346,0.21269,0.20346,0.21073
2004-04-30,0.2104,0.21195,0.20773,0.20781
2004-05-31,0.20918,0.2154,0.20896,0.21501
2004-06-30,0.21502,0.22016,0.21459,0.22016
2004-07-31,0.22223,0.22852,0.22037,0.22852
